#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server.
,networkmanager,is the network managing tool.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.
A,wqy-microhei,is the font for chinese character.
A,nerd-fonts-complete,is for the emoji.
A,lf-git,is an extensive terminal file manager that everyone likes.
A,ueberzug,is for image display in lf.
,bc,is used for a dropdown calculator.
,xcompmgr,is for transparency and removing screen-tearing.
,xorg-xprop,is a tool for detecting window properties.
,arandr,allows the user to customize monitor arrangements.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,sxiv,is a minimalist image viewer.
,xwallpaper,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,gnome-keyring,serves as the system keyring.
A,gnome-calendar,is a calendar tool.
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in LARBS.
,neovim,a tidier vim with some useful features
,mpd,is a lightweight music daemon.
,mpc,is a terminal interface for mpd.
,mpv,is the patrician's choice video player.
,man-db,lets you read man pages of programs.
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
,newsboat,is a terminal RSS client.
A,firefox,is a popular browser.
A,google-chrome,is another popular browser.
,noto-fonts-emoji,is an emoji font.
,ntfs-3g,allows accessing NTFS partitions.
,pulseaudio-alsa,is the audio system.
,pulsemixer,is an audio controller.
,pamixer,is a command-line audio interface.
A,sc-im,is an Excel-like terminal spreadsheet manager.
,maim,can take quick screenshots at your request.
A,abook,is an offline addressbook usable by neomutt.
,unclutter,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
,xcape,gives the special escape/super mappings of LARBS.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,xorg-xdpyinfo,aids with resolution determination and screen recording.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,mediainfo,shows audio and video information.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
,xorg-xbacklight,enables changing screen brightness levels.
A,zsh-fast-syntax-highlighting,provides syntax highlighting in the shell.
A,zsh-autosuggestions,provides autosuggestion in the shell.
A,texlive-most,is a pdf compiler.
A,onedrive-abraunegg,is a file-sharing tool.
A,fcitx,is a for language input.
A,fcitx-configtool,is for configuring fcitx.
A,fcitx-googlepinyin,is for googlepinyin in fcitx.
A,picom-git,is for transparency.
A,r,is for R language.
A,python,is for python language.
A,python-pip,is for managing packages in python.
A,teams,is a video-calling tool.
A,task-spooler,queues commands or files for download.
A,simple-mtpfs,enables the mounting of cell phones.
A,htop-vim-git,is a graphical and colorful system monitor.
G,https://github.com/nguwijy/dwmblocks.git,serves as the modular status bar.
G,https://github.com/nguwijy/dmenu.git,runs commands and provides a UI for selection.
G,https://github.com/nguwijy/st.git,is my custom build of suckless's terminal emulator.
G,https://github.com/nguwijy/dwm.git,is the window manager.
A,mutt-wizard-git,is a light-weight terminal-based email system.
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,is a utility which establishes two byte streams and transfers data between them.
A,pycharm-eap,is an IDE for python.
